Sample	initial_sample_nr	Sequencing_series	Sort_date	Run	Biol_replicate	Culture_type	Cultured_lines	Sorted_line	Cell_type	Drug	Treatment	Drug_concentration	nr_on_tube	pairing_batch
i42	T42	Nov-24	27-Sep-24	Run2	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B14
i43	T43	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B15
i44	T44	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_25	25	20	B15
i45	T45	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B15
i46	T46	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B16
i47	T47	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_25	25	23	B16
i48	T48	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B16
i49	T49	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B17
i50	T50	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_25	25	2	B17
i51	T51	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B17
i52	T52	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B18
i53	T53	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_25	25	5	B18
i54	T54	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B18
i55	T55	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B19
i56	T56	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_25	25	8	B19
i57	T57	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B19
i58	T58	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B20
i59	T59	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_25	25	11	B20
i60	T60	Nov-24	29-Sep-24	Run3	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B20
i61	T61	Nov-24	29-Sep-24	Run3	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B21
i62	T62	Nov-24	29-Sep-24	Run3	T3P5	Mono	mT3	mT3	T	H151	H151_25	25	14	B21
i63	T63	Nov-24	29-Sep-24	Run3	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B21
i64	T64	Nov-24	29-Sep-24	Run3	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B22
i65	T65	Nov-24	29-Sep-24	Run3	T4P4	Mono	mT4	mT4	T	H151	H151_25	25	17	B22
i66	T66	Nov-24	29-Sep-24	Run3	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B22
i67	T67	Nov-24	29-Sep-24	Run3	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B23
i68	T68	Nov-24	29-Sep-24	Run3	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_25	25	20	B23
i69	T69	Nov-24	29-Sep-24	Run3	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B23
i70	T70	Nov-24	29-Sep-24	Run3	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B24
i71	T71	Nov-24	29-Sep-24	Run3	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_25	25	23	B24
i72	T72	Nov-24	29-Sep-24	Run3	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B24
i73	T73	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B25
i74	T74	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_25	25	2	B25
i75	T75	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_1	1	3	B25
i76	T76	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B26
i77	T77	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_25	25	5	B26
i78	T78	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_1	1	6	B26
i79	T79	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B27
i80	T80	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_25	25	8	B27
i81	T81	Nov-24	30-Sep-24	Run4	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_1	1	9	B27
i82	T82	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B28
i83	T83	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_25	25	11	B28
i84	T84	Nov-24	30-Sep-24	Run4	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_1	1	12	B28
i85	T85	Nov-24	30-Sep-24	Run4	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B29
i86	T86	Nov-24	30-Sep-24	Run4	T3P5	Mono	mT3	mT3	T	H151	H151_25	25	14	B29
i87	T87	Nov-24	30-Sep-24	Run4	T3P5	Mono	mT3	mT3	T	H151	H151_1	1	15	B29
i88	T88	Nov-24	30-Sep-24	Run4	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B30
i89	T89	Nov-24	30-Sep-24	Run4	T4P4	Mono	mT4	mT4	T	H151	H151_25	25	17	B30
i90	T90	Nov-24	30-Sep-24	Run4	T4P4	Mono	mT4	mT4	T	H151	H151_1	1	18	B30
i91	T91	Nov-24	30-Sep-24	Run4	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B31
i92	T92	Nov-24	30-Sep-24	Run4	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_25	25	20	B31
i93	T93	Nov-24	30-Sep-24	Run4	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_1	1	21	B31
i94	T94	Nov-24	30-Sep-24	Run4	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B32
i95	T95	Nov-24	30-Sep-24	Run4	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_25	25	23	B32
i96	T96	Nov-24	30-Sep-24	Run4	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_1	1	24	B32
i97	T97	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B33
i98	T98	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_25	25	2	B33
i99	T99	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B33
i100	T100	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B34
i101	T101	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_25	25	5	B34
i102	T102	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B34
i103	T103	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B35
i104	T104	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_25	25	8	B35
i105	T105	Nov-24	29-Sep-24	Run5	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B35
